SL. NO,DEPOT,DATE,EMP_ID,VEH_NO,TYPE,SER_NO,KMS,ENGS,D/N_OUT,SCHS.,LONG TYPE,ROUTE,HOURS,DOUBLE_DUTY
1,MAHABOOBABAD,28-11-2023,343208,AP36Z0011,OR,9020,234,25478,D,0,PALLEVELUGU,EXTRA,8,0
2,MAHABOOBABAD,03-12-2023,653160,AP36Z0182,OR,9020,446,10450,D,0,PALLEVELUGU,EXTRA,8,0
3,MAHABOOBABAD,01-12-2023,653552,AP29Z1962,OR,9020,250,54670,D,0,PALLEVELUGU,EXTRA,8,0
4,MAHABOOBABAD,11-04-2023,177359,TS26Z0025,OR,9503,10,121044,D,0,PALLEVELUGU,HIRE SPL,8,0
5,MAHABOOBABAD,31-08-2023,177359,TS26Z0019,OR,9002,152,8186,D,0,PALLEVELUGU,EXTRA,8,0
6,MAHABOOBABAD,16-03-2024,177359,AP36Z0182,OR,ASP2,348,21462,D,1,PALLEVELUGU,SRPT/TNC,8,0
7,MAHABOOBABAD,18-03-2024,177359,AP36Z0176,OR,BDB4,300,11328,D,1,PALLEVELUGU,MNGLAVEDU,8,0
8,MAHABOOBABAD,19-03-2024,177359,AP36Z0030,OR,BDB3,330,8478,D,1,PALLEVELUGU,MHB-VSPL,8,0
9,MAHABOOBABAD,20-03-2024,177359,AP36Z0190,OR,BDB2,350,13192,D,1,PALLEVELUGU,MH-NRSPT,8,0
10,MAHABOOBABAD,21-03-2024,177359,AP36Z0140,OR,9001,210,5142,D,0,PALLEVELUGU,EXTRA,8,0
11,MAHABOOBABAD,23-03-2024,177359,AP36Z0184,OR,BDB5,330,17476,D,1,PALLEVELUGU,MHB-GPUR,8,0
12,MAHABOOBABAD,27-03-2024,177359,AP36Z0176,OR,BDB1,306,16794,D,1,PALLEVELUGU,MHB-AMPL,8,0
13,MAHABOOBABAD,30-03-2024,177359,AP36Z0190,OR,BDB3,330,17754,D,1,PALLEVELUGU,MHB-VSPL,8,0
14,MAHABOOBABAD,01-04-2023,214423,AP36Z0149,OR,ASP3,348,11094,D,1,PALLEVELUGU,SRPT/TNC,8,0
15,MAHABOOBABAD,03-04-2023,214423,AP29Z2081,OR,NP03,400,6650,D,1,PALLEVELUGU,MHB-NSPT,8,0
16,MAHABOOBABAD,05-04-2023,214423,AP36Z0011,OR,KLD2,340,10666,D,1,PALLEVELUGU,KLD/WGL,8,0
17,MAHABOOBABAD,06-04-2023,214423,AP36Z0151,OR,9001,180,3796,D,0,PALLEVELUGU,EXTRA,8,0
18,MAHABOOBABAD,12-04-2023,214423,AP36Z0194,OR,KM01,370,8864,D,1,PALLEVELUGU,MHBD-KMM,8,0
19,MAHABOOBABAD,18-04-2023,214423,AP36Z0182,OR,ASP2,348,9706,D,1,PALLEVELUGU,SRPT/TNC,8,0
20,MAHABOOBABAD,25-04-2023,214423,AP29Z2081,OR,NP03,400,12768,D,1,PALLEVELUGU,MHB-NSPT,8,0
21,MAHABOOBABAD,27-04-2023,214423,AP36Z0031,OR,CHG1,300,9630,D,1,PALLEVELUGU,WL/KSDM,8,0
22,MAHABOOBABAD,02-05-2023,214423,AP29Z2081,OR,GN01,300,9852,D,1,PALLEVELUGU,WL/KSDM,8,0
23,MAHABOOBABAD,03-05-2023,214423,AP36Z0216,OR,BPT1,300,12188,D,1,PALLEVELUGU,WL/KSDM,8,0
24,MAHABOOBABAD,04-05-2023,214423,AP36Z0011,OR,KLD2,340,11864,D,1,PALLEVELUGU,KLD/WGL,8,0
25,MAHABOOBABAD,08-05-2023,214423,AP36Z0159,OR,KLD2,340,13786,D,1,PALLEVELUGU,KLD/WGL,8,0
26,MAHABOOBABAD,11-05-2023,214423,AP29Z3151,OR,9001,260,10510,D,0,PALLEVELUGU,EXTRA,8,0
27,MAHABOOBABAD,12-05-2023,214423,AP29Z2401,OR,NP03,400,18310,D,1,PALLEVELUGU,MHB-NSPT,8,1
28,MAHABOOBABAD,15-05-2023,214423,AP36Z0031,OR,CHG1,300,9488,D,1,PALLEVELUGU,WL/KSDM,8,0
29,MAHABOOBABAD,16-05-2023,214423,AP36Z0031,OR,CHG1,300,8460,D,1,PALLEVELUGU,WL/KSDM,8,0
30,MAHABOOBABAD,17-05-2023,214423,AP29Z2370,OR,9025,410,9544,D,1,PALLEVELUGU,EXTRA,8,0
31,MAHABOOBABAD,23-05-2023,214423,AP36Z0011,OR,KLD2,340,9424,D,1,PALLEVELUGU,KLD/WGL,8,0
32,MAHABOOBABAD,24-05-2023,214423,AP36Z0190,OR,9026,500,26118,D,1,PALLEVELUGU,EXTRA,8,0
33,MAHABOOBABAD,28-05-2023,214423,AP36Z0165,OR,GPR1,300,13322,D,1,PALLEVELUGU,WL/KSDM,8,0
34,MAHABOOBABAD,29-05-2023,214423,AP29Z2370,OR,9023,500,16036,D,1,PALLEVELUGU,EXTRA,8,0
35,MAHABOOBABAD,04-06-2023,214423,AP36Z0140,OR,ASP5,348,12878,D,1,PALLEVELUGU,SRPT/TNC,8,0
36,MAHABOOBABAD,05-06-2023,214423,AP29Z2081,OR,CHG1,300,17402,D,1,PALLEVELUGU,WL/KSDM,8,0
37,MAHABOOBABAD,17-06-2023,214423,AP29Z1741,OR,WL13,300,12466,D,1,PALLEVELUGU,WL/KSDM,8,0
38,MAHABOOBABAD,21-06-2023,214423,AP29Z2172,OR,ASP3,348,13528,D,1,PALLEVELUGU,SRPT/TNC,8,0
39,MAHABOOBABAD,26-06-2023,214423,TS26Z0025,OR,TS07,360,13270,D,1,PALLEVELUGU,MHB-GPUR,8,0
40,MAHABOOBABAD,01-07-2023,214423,AP36Z0165,OR,GPR1,300,12760,D,1,PALLEVELUGU,WL/KSDM,8,0
41,MAHABOOBABAD,02-07-2023,214423,AP29Z1741,OR,WL13,300,10120,D,1,PALLEVELUGU,WL/KSDM,8,0
42,MAHABOOBABAD,07-08-2023,214423,AP36Z0030,OR,9002,240,2958,D,0,PALLEVELUGU,EXTRA,8,0
43,MAHABOOBABAD,24-08-2023,214423,AP36Z0163,OR,ASP5,348,10246,D,1,PALLEVELUGU,SRPT/TNC,8,0
44,MAHABOOBABAD,27-08-2023,214423,TS26Z0032,EX,HN05,464,25312,D,1,EXPRESS,HNK-HYD,8,0
45,MAHABOOBABAD,28-08-2023,214423,AP36Z0140,OR,9002,250,3398,D,0,PALLEVELUGU,EXTRA,8,0
46,MAHABOOBABAD,30-08-2023,214423,AP36Z0140,OR,9002,220,2864,D,0,PALLEVELUGU,EXTRA,8,0
47,MAHABOOBABAD,02-09-2023,214423,AP29Z1962,OR,NP04,400,22162,D,1,PALLEVELUGU,MHBD-KMM,8,0
48,MAHABOOBABAD,04-09-2023,214423,AP29Z2401,OR,9003,300,8782,D,0,PALLEVELUGU,EXTRA,8,0
49,MAHABOOBABAD,06-09-2023,214423,AP29Z1962,OR,NP04,400,16714,D,1,PALLEVELUGU,MHBD-KMM,8,0
50,MAHABOOBABAD,28-09-2023,214423,AP29Z2172,OR,ASP3,348,8908,D,1,PALLEVELUGU,SRPT/TNC,8,0
51,MAHABOOBABAD,14-10-2023,214423,AP29Z3151,OR,NP02,400,12034,D,1,PALLEVELUGU,MHBD-KMM,8,0
52,MAHABOOBABAD,11-11-2023,214423,AP29Z1962,EX,9506,500,43000,D,0,EXPRESS,HIRE SPL,8,0
53,MAHABOOBABAD,10-01-2024,214423,AP36Z0184,OR,9015,520,20262,D,0,PALLEVELUGU,EXTRA,8,0
54,MAHABOOBABAD,11-01-2024,214423,AP03Z5028,OR,GN01,300,14372,D,1,PALLEVELUGU,WL/KSDM,8,0
55,MAHABOOBABAD,28-01-2024,214423,AP36Z0140,OR,GPR1,300,20530,D,1,PALLEVELUGU,WL/KSDM,8,0
56,MAHABOOBABAD,30-01-2024,214423,AP36Z0190,OR,BDB2,350,13922,D,1,PALLEVELUGU,MH-NRSPT,8,0
57,MAHABOOBABAD,10-02-2024,214423,AP29Z2081,OR,NP03,400,25910,D,1,PALLEVELUGU,MHBD-KMM,8,0
58,MAHABOOBABAD,11-02-2024,214423,AP36Z0165,OR,CHG1,300,19488,D,1,PALLEVELUGU,WL/KSDM,8,0
59,MAHABOOBABAD,28-02-2024,214423,AP29Z3151,OR,NP02,400,18280,D,1,PALLEVELUGU,MHBD-KMM,8,0
60,MAHABOOBABAD,29-02-2024,214423,AP36Z0018,OR,KM05,400,21432,D,1,PALLEVELUGU,MHBD-KMM,8,0
61,MAHABOOBABAD,12-03-2024,214423,AP29Z1962,OR,NP04,400,32366,D,1,PALLEVELUGU,MHBD-KMM,8,0
62,MAHABOOBABAD,18-03-2024,214423,AP36Z0030,OR,BDB3,330,12302,D,1,PALLEVELUGU,MHB-VSPL,8,0
63,MAHABOOBABAD,19-03-2024,214423,AP36Z0182,OR,ASP2,348,23640,D,1,PALLEVELUGU,SRPT/TNC,8,0
64,MAHABOOBABAD,20-03-2024,214423,AP36Z0030,OR,BDB3,330,14750,D,1,PALLEVELUGU,MHB-VSPL,8,0
65,MAHABOOBABAD,21-03-2024,214423,AP36Z0176,OR,BDB4,300,9414,D,1,PALLEVELUGU,MNGLAVEDU,8,0
66,MAHABOOBABAD,23-03-2024,214423,AP36Z0030,OR,BDB3,330,9964,D,1,PALLEVELUGU,MHB-VSPL,8,0
67,MAHABOOBABAD,24-03-2024,214423,AP36Z0150,OR,ASP1,348,17996,D,1,PALLEVELUGU,SRPT/TNC,8,0
68,MAHABOOBABAD,25-03-2024,214423,AP36Z0182,OR,ASP2,174,6400,D,1,PALLEVELUGU,SRPT/TNC,8,0
69,MAHABOOBABAD,26-03-2024,214423,AP36Z0150,OR,ASP1,348,18348,D,1,PALLEVELUGU,SRPT/TNC,8,0
70,MAHABOOBABAD,27-03-2024,214423,AP29Z2081,OR,NP03,400,30686,D,1,PALLEVELUGU,MHBD-KMM,8,0
71,MAHABOOBABAD,30-03-2024,214423,AP36Z0182,OR,ASP2,348,25070,D,1,PALLEVELUGU,SRPT/TNC,8,0
72,MAHABOOBABAD,01-04-2023,214565,AP36Z0149,OR,9041,5,1790,D,1,PALLEVELUGU,EXTRA,8,0
73,MAHABOOBABAD,09-04-2023,214565,AP36Z0216,OR,9001,5,824,D,0,PALLEVELUGU,EXTRA,8,0
74,MAHABOOBABAD,10-04-2023,214565,AP36Z0258,OR,9002,5,4914,D,0,PALLEVELUGU,EXTRA,8,0
75,MAHABOOBABAD,11-04-2023,214565,AP36Z0165,EX,9502,10,79704,D,1,EXPRESS,EXTRA,8,0
76,MAHABOOBABAD,12-04-2023,214565,AP36Z0159,OR,9041,5,7596,D,1,PALLEVELUGU,EXTRA,8,0
77,MAHABOOBABAD,16-04-2023,214565,TS26Z0018,OR,9002,5,1164,D,0,PALLEVELUGU,EXTRA,8,0
78,MAHABOOBABAD,17-04-2023,214565,TS26Z0032,OR,9041,5,3610,D,1,PALLEVELUGU,EXTRA,8,0
79,MAHABOOBABAD,18-04-2023,214565,AP36Z0190,EX,9501,1236,65100,D,1,EXPRESS,EXTRA,8,0
80,MAHABOOBABAD,21-04-2023,214565,AP03Z5028,OR,9001,5,2428,D,0,PALLEVELUGU,EXTRA,8,0
81,MAHABOOBABAD,22-04-2023,214565,TS26Z0023,OR,9001,5,88,D,0,PALLEVELUGU,EXTRA,8,0
82,MAHABOOBABAD,30-04-2023,214565,TS26Z0023,MP,9001,5,5728,D,0,MINI PVG,EXTRA,8,0
83,MAHABOOBABAD,05-05-2023,214565,TS26Z0019,MP,9005,5,5764,D,1,MINI PVG,EXTRA,8,0
84,MAHABOOBABAD,05-05-2023,214565,AP36Z0140,OR,9004,5,4640,D,0,PALLEVELUGU,EXTRA,8,0
85,MAHABOOBABAD,09-05-2023,214565,AP29Z3151,OR,9004,5,1698,D,0,PALLEVELUGU,EXTRA,8,0
86,MAHABOOBABAD,12-05-2023,214565,AP29Z3151,OR,9003,5,3602,D,1,PALLEVELUGU,EXTRA,8,0
87,MAHABOOBABAD,22-05-2023,214565,AP36Z0031,OR,9002,5,28,D,0,PALLEVELUGU,EXTRA,8,0
88,MAHABOOBABAD,23-05-2023,214565,AP03Z5028,MP,9003,5,2678,D,1,MINI PVG,EXTRA,8,0
89,MAHABOOBABAD,27-05-2023,214565,AP29Z3151,MP,9002,5,1044,D,0,MINI PVG,EXTRA,8,0
90,MAHABOOBABAD,28-05-2023,214565,AP36Z0163,OR,9041,5,4636,D,1,PALLEVELUGU,EXTRA,8,0
91,MAHABOOBABAD,30-05-2023,214565,AP36Z0159,OR,9001,5,6576,D,0,PALLEVELUGU,EXTRA,8,0
92,MAHABOOBABAD,01-06-2023,214565,AP29Z2081,OR,CHG1,226,14844,D,1,PALLEVELUGU,WL/KSDM,8,0
93,MAHABOOBABAD,05-06-2023,214565,AP36Z0216,OR,9003,5,154,D,1,PALLEVELUGU,EXTRA,8,0
94,MAHABOOBABAD,06-06-2023,214565,AP29Z3153,OR,9041,5,8754,D,1,PALLEVELUGU,EXTRA,8,0
95,MAHABOOBABAD,01-04-2023,214986,TS26Z0022,MP,YLM2,380,14872,D,1,MINI PVG,YLD-MINI,8,0
96,MAHABOOBABAD,02-04-2023,214986,TS26Z0018,MP,YLM1,380,9846,D,1,MINI PVG,YLD-MINI,8,0
97,MAHABOOBABAD,05-04-2023,214986,AP29Z2172,OR,TS07,180,1638,D,1,PALLEVELUGU,MHB-GPUR,8,0
98,MAHABOOBABAD,08-04-2023,214986,AP36Z0163,OR,ASP5,348,11728,D,1,PALLEVELUGU,SRPT/TNC,8,0
99,MAHABOOBABAD,11-04-2023,214986,TS26Z0022,MP,YLM2,380,12236,D,1,MINI PVG,YLD-MINI,8,0
100,MAHABOOBABAD,12-04-2023,214986,TS26Z0021,MP,YLM6,380,8690,D,1,MINI PVG,YLD-MINI,8,0
101,MAHABOOBABAD,13-04-2023,214986,TS26Z0020,MP,YLM4,380,10648,D,1,MINI PVG,YLD-MINI,8,0
102,MAHABOOBABAD,29-07-2023,214986,TS26Z0021,MP,YLM6,380,12228,D,1,MINI PVG,YLD-MINI,8,0
103,MAHABOOBABAD,31-07-2023,214986,TS26Z0018,MP,YLM1,380,12112,D,1,MINI PVG,YLD-MINI,8,0
104,MAHABOOBABAD,02-08-2023,214986,TS26Z0019,MP,YLM4,380,11774,D,1,MINI PVG,YLD-MINI,8,0
105,MAHABOOBABAD,05-08-2023,214986,TS26Z0021,MP,YLM6,380,13340,D,1,MINI PVG,YLD-MINI,8,0
106,MAHABOOBABAD,06-08-2023,214986,TS26Z0024,MP,YLM5,380,14012,D,1,MINI PVG,YLD-MINI,8,0
107,MAHABOOBABAD,03-04-2023,215437,AP29Z1962,OR,NP04,420,16192,D,1,PALLEVELUGU,MHBD-KMM,8,0
108,MAHABOOBABAD,10-04-2023,215437,AP29Z1962,OR,NP04,420,12952,D,1,PALLEVELUGU,MHBD-KMM,8,0
109,MAHABOOBABAD,12-04-2023,215437,AP36Z0165,OR,GPR1,300,8324,D,1,PALLEVELUGU,WL/KSDM,8,0
110,MAHABOOBABAD,02-05-2023,215437,AP36Z0190,OR,BDB2,446,16490,D,1,PALLEVELUGU,MH-NRSPT,8,0
111,MAHABOOBABAD,07-05-2023,215437,TS26Z0019,OR,9010,176,6312,D,1,PALLEVELUGU,EXTRA,8,0
112,MAHABOOBABAD,05-06-2023,215437,AP36Z0258,OR,9022,530,28604,D,1,PALLEVELUGU,EXTRA,8,0
113,MAHABOOBABAD,15-06-2023,215437,TS26Z0025,OR,TS07,266,9882,D,1,PALLEVELUGU,MHB-GPUR,8,1
114,MAHABOOBABAD,19-06-2023,215437,AP36Z0246,OR,9026,522,21616,D,1,PALLEVELUGU,EXTRA,8,0
115,MAHABOOBABAD,26-06-2023,215437,AP36Z0165,OR,GPR1,300,11436,D,1,PALLEVELUGU,WL/KSDM,8,0
116,MAHABOOBABAD,30-06-2023,215437,AP36Z0150,EX,9516,280,17500,D,1,EXPRESS,EXTRA,8,0
117,MAHABOOBABAD,10-07-2023,215437,AP36Z0190,OR,9016,506,20542,D,1,PALLEVELUGU,EXTRA,8,0
118,MAHABOOBABAD,14-07-2023,215437,AP36Z0159,OR,WK01,430,13794,D,1,PALLEVELUGU,WLKRPL,8,0
119,MAHABOOBABAD,24-07-2023,215437,AP36Z0165,OR,GPR1,300,10602,D,1,PALLEVELUGU,WL/KSDM,8,0
120,MAHABOOBABAD,02-08-2023,215437,AP36Z0151,OR,9003,220,1446,D,0,PALLEVELUGU,EXTRA,8,0
121,MAHABOOBABAD,06-08-2023,215437,AP36Z0194,EX,HN05,464,15032,D,1,EXPRESS,HNK-HYD,8,0
122,MAHABOOBABAD,07-08-2023,215437,AP36Z0140,OR,GPR1,300,9948,D,1,PALLEVELUGU,WL/KSDM,8,0
123,MAHABOOBABAD,08-08-2023,215437,AP29Z2081,OR,NP03,400,12866,D,1,PALLEVELUGU,MHBD-KMM,8,0
124,MAHABOOBABAD,23-08-2023,215437,TS26Z0020,OR,CHG1,300,5916,D,1,PALLEVELUGU,WL/KSDM,8,0
125,MAHABOOBABAD,27-08-2023,215437,AP03Z5028,EX,9525,205,18000,D,0,EXPRESS,EXTRA,8,0
126,MAHABOOBABAD,29-08-2023,215437,AP29Z1741,OR,WL13,300,9410,D,1,PALLEVELUGU,WL/KSDM,8,0
127,MAHABOOBABAD,12-09-2023,215437,AP29Z3151,OR,MUF3,320,7590,D,1,PALLEVELUGU,JAYYARAM,8,0
128,MAHABOOBABAD,17-09-2023,215437,AP36Z0184,OR,9018,464,16538,D,0,PALLEVELUGU,EXTRA,8,0
129,MAHABOOBABAD,20-09-2023,215437,AP29Z1741,OR,WL13,300,8572,D,1,PALLEVELUGU,WL/KSDM,8,0
130,MAHABOOBABAD,22-09-2023,215437,AP29Z2401,OR,GPR1,300,8702,D,1,PALLEVELUGU,WL/KSDM,8,0
131,MAHABOOBABAD,29-09-2023,215437,AP36Z0031,OR,CHG1,300,6854,D,1,PALLEVELUGU,WL/KSDM,8,0
132,MAHABOOBABAD,04-10-2023,215437,AP36Z0258,OR,TS03,360,9520,D,1,PALLEVELUGU,THORRUR,8,0
133,MAHABOOBABAD,17-10-2023,215437,TS26Z0035,OR,9001,90,4396,D,0,PALLEVELUGU,EXTRA,8,0
134,MAHABOOBABAD,20-10-2023,215437,AP36Z0259,EX,HN05,464,16986,D,1,EXPRESS,HNK-HYD,8,0
135,MAHABOOBABAD,21-10-2023,215437,AP36Z0259,OR,9022,522,27564,D,0,PALLEVELUGU,EXTRA,8,0
136,MAHABOOBABAD,27-10-2023,215437,AP36Z0140,EX,9510,150,18000,D,0,EXPRESS,EXTRA,8,0
137,MAHABOOBABAD,28-10-2023,215437,TS26Z0032,EX,9016,446,18952,D,0,EXPRESS,EXTRA,8,0
138,MAHABOOBABAD,30-10-2023,215437,AP36Z0184,OR,9017,446,20046,D,0,PALLEVELUGU,EXTRA,8,0
139,MAHABOOBABAD,07-11-2023,215437,TS26Z0032,OR,9026,460,13186,D,0,PALLEVELUGU,EXTRA,8,0
140,MAHABOOBABAD,10-11-2023,215437,AP29Z2370,OR,9020,446,12920,D,0,PALLEVELUGU,EXTRA,8,0
141,MAHABOOBABAD,17-11-2023,215437,TS26Z0020,OR,CHG1,300,7522,D,1,PALLEVELUGU,WL/KSDM,8,0
142,MAHABOOBABAD,18-11-2023,215437,AP29Z2172,OR,ASP3,348,10252,D,1,PALLEVELUGU,SRPT/TNC,8,0
143,MAHABOOBABAD,25-11-2023,215437,TS26Z0035,EX,9015,520,24358,D,0,EXPRESS,EXTRA,8,0
144,MAHABOOBABAD,27-11-2023,215437,AP36Z0165,OR,9008,160,3376,D,0,PALLEVELUGU,EXTRA,8,0
145,MAHABOOBABAD,28-11-2023,215437,AP36Z0190,OR,9015,522,25302,D,0,PALLEVELUGU,EXTRA,8,0
146,MAHABOOBABAD,06-12-2023,215437,TS26Z0035,EX,HN05,464,25380,D,1,EXPRESS,HNK-HYD,8,0
147,MAHABOOBABAD,08-12-2023,215437,AP36Z0143,OR,YS01,348,11900,D,1,PALLEVELUGU,SRPT/TNC,8,0
148,MAHABOOBABAD,15-12-2023,215437,AP36Z0165,OR,CHG1,306,14828,D,1,PALLEVELUGU,WL/KSDM,8,0
149,MAHABOOBABAD,17-12-2023,215437,TS26Z0032,EX,HN05,464,21095,D,1,EXPRESS,HNK-HYD,8,0
150,MAHABOOBABAD,18-12-2023,215437,AP36Z0030,OR,GPR1,300,23686,D,1,PALLEVELUGU,WL/KSDM,8,0
151,MAHABOOBABAD,19-12-2023,215437,AP29Z2081,OR,NP03,400,33862,D,1,PALLEVELUGU,MHBD-KMM,8,0
152,MAHABOOBABAD,22-12-2023,215437,AP36Z0143,OR,YS01,348,18584,D,1,PALLEVELUGU,SRPT/TNC,8,0
153,MAHABOOBABAD,23-12-2023,215437,AP36Z0190,OR,9015,522,40240,D,0,PALLEVELUGU,EXTRA,8,0
154,MAHABOOBABAD,25-12-2023,215437,AP36Z0216,OR,BPT1,300,16646,D,1,PALLEVELUGU,WL/KSDM,8,0
155,MAHABOOBABAD,26-12-2023,215437,AP29Z2081,OR,NP03,400,26764,D,1,PALLEVELUGU,MHBD-KMM,8,0
156,MAHABOOBABAD,01-01-2024,215437,AP36Z0165,OR,CHG1,300,9398,D,1,PALLEVELUGU,WL/KSDM,8,0
157,MAHABOOBABAD,05-01-2024,215437,AP29Z1741,OR,WL13,300,16734,D,1,PALLEVELUGU,WL/KSDM,8,0
158,MAHABOOBABAD,09-01-2024,215437,AP36Z0184,OR,9015,526,13278,D,0,PALLEVELUGU,EXTRA,8,0
159,MAHABOOBABAD,13-01-2024,215437,AP36Z0159,EX,9022,440,39858,D,0,EXPRESS,EXTRA,8,0
160,MAHABOOBABAD,15-01-2024,215437,AP36Z0176,OR,9002,190,19622,D,0,PALLEVELUGU,EXTRA,8,0
161,MAHABOOBABAD,16-01-2024,215437,AP36Z0190,EX,9016,546,27540,D,0,EXPRESS,EXTRA,8,0
162,MAHABOOBABAD,19-01-2024,215437,AP36Z0194,EX,9016,460,27938,D,0,EXPRESS,EXTRA,8,0
163,MAHABOOBABAD,05-02-2024,215437,AP36Z0176,OR,9015,464,34970,D,0,PALLEVELUGU,EXTRA,8,0
164,MAHABOOBABAD,13-02-2024,215437,AP36Z0216,OR,9018,432,17918,D,0,PALLEVELUGU,EXTRA,8,0
165,MAHABOOBABAD,01-03-2024,215437,AP29Z1741,OR,WL13,300,14496,D,1,PALLEVELUGU,WL/KSDM,8,0
166,MAHABOOBABAD,12-03-2024,215437,TS26Z0020,EX,9016,400,18760,D,0,EXPRESS,EXTRA,8,0
167,MAHABOOBABAD,15-03-2024,215437,AP29Z2081,OR,NP03,400,26514,D,1,PALLEVELUGU,MHBD-KMM,8,0
168,MAHABOOBABAD,22-03-2024,215437,AP36Z0182,OR,ASP2,348,17640,D,1,PALLEVELUGU,SRPT/TNC,8,0
169,MAHABOOBABAD,09-04-2023,235745,AP03Z5028,OR,GN01,300,8192,D,1,PALLEVELUGU,WL/KSDM,8,0
170,MAHABOOBABAD,11-04-2023,235745,AP36Z0149,OR,ASP3,348,12656,D,1,PALLEVELUGU,SRPT/TNC,8,0
171,MAHABOOBABAD,16-04-2023,235745,AP29Z2370,OR,KLD2,340,8930,D,1,PALLEVELUGU,KLD/WGL,8,0
172,MAHABOOBABAD,17-04-2023,235745,AP36Z0149,OR,CHG1,300,8536,D,1,PALLEVELUGU,WL/KSDM,8,0
173,MAHABOOBABAD,24-04-2023,235745,AP29Z2172,OR,TS07,340,9398,D,1,PALLEVELUGU,MHB-GPUR,8,0
174,MAHABOOBABAD,04-05-2023,235745,AP36Z0143,OR,9011,386,13430,D,1,PALLEVELUGU,EXTRA,8,0
175,MAHABOOBABAD,07-05-2023,235745,AP29Z2370,OR,9510,310,21526,D,1,PALLEVELUGU,EXTRA,8,0
176,MAHABOOBABAD,10-05-2023,235745,AP36Z0246,OR,9002,252,10506,D,0,PALLEVELUGU,EXTRA,8,0
177,MAHABOOBABAD,15-05-2023,235745,AP29Z2172,OR,MUF3,300,12452,D,1,PALLEVELUGU,JAYYARAM,8,0
178,MAHABOOBABAD,06-06-2023,235745,AP36Z0258,OR,9022,532,18614,D,1,PALLEVELUGU,EXTRA,8,0
179,MAHABOOBABAD,08-06-2023,235745,AP36Z0031,OR,CHG1,300,16300,D,1,PALLEVELUGU,WL/KSDM,8,0
180,MAHABOOBABAD,11-06-2023,235745,AP36Z0258,OR,9026,512,13728,D,1,PALLEVELUGU,EXTRA,8,0
181,MAHABOOBABAD,13-06-2023,235745,AP36Z0031,OR,CHG1,300,10250,D,1,PALLEVELUGU,WL/KSDM,8,0
182,MAHABOOBABAD,22-06-2023,235745,AP36Z0031,OR,CHG1,300,11748,D,1,PALLEVELUGU,WL/KSDM,8,0
183,MAHABOOBABAD,23-06-2023,235745,AP36Z0031,OR,CHG1,300,14164,D,1,PALLEVELUGU,WL/KSDM,8,0
184,MAHABOOBABAD,04-07-2023,235745,AP36Z0190,OR,GPR1,300,8172,D,1,PALLEVELUGU,WL/KSDM,8,0
185,MAHABOOBABAD,07-07-2023,235745,AP29Z2401,OR,CHG1,300,10738,D,1,PALLEVELUGU,WL/KSDM,8,0
186,MAHABOOBABAD,20-07-2023,235745,AP36Z0216,OR,BPT1,300,12020,D,1,PALLEVELUGU,WL/KSDM,8,0
187,MAHABOOBABAD,21-07-2023,235745,AP29Z2370,OR,CHG1,300,11932,D,1,PALLEVELUGU,WL/KSDM,8,0
188,MAHABOOBABAD,24-07-2023,235745,AP36Z0011,OR,MUF3,256,9648,D,1,PALLEVELUGU,JAYYARAM,8,0
189,MAHABOOBABAD,26-07-2023,235745,AP36Z0031,OR,CHG1,300,5502,D,1,PALLEVELUGU,WL/KSDM,8,0
190,MAHABOOBABAD,31-07-2023,235745,AP29Z2370,OR,9001,240,1834,D,0,PALLEVELUGU,EXTRA,8,0
191,MAHABOOBABAD,01-08-2023,235745,AP36Z0011,OR,CHG1,300,6760,D,1,PALLEVELUGU,WL/KSDM,8,0
192,MAHABOOBABAD,02-08-2023,235745,AP36Z0190,OR,9002,240,3164,D,0,PALLEVELUGU,EXTRA,8,0
193,MAHABOOBABAD,08-08-2023,235745,AP36Z0011,OR,KLD2,340,11732,D,1,PALLEVELUGU,KLD/WGL,8,0
194,MAHABOOBABAD,11-08-2023,235745,AP36Z0140,OR,ASP2,348,7124,D,1,PALLEVELUGU,SRPT/TNC,8,0
195,MAHABOOBABAD,13-08-2023,235745,AP36Z0258,OR,TS03,360,11514,D,1,PALLEVELUGU,THORRUR,8,0
196,MAHABOOBABAD,14-08-2023,235745,AP36Z0140,OR,MUF3,300,2948,D,1,PALLEVELUGU,JAYYARAM,8,0
197,MAHABOOBABAD,15-08-2023,235745,AP29Z1741,OR,WL13,300,9328,D,1,PALLEVELUGU,WL/KSDM,8,0
198,MAHABOOBABAD,18-08-2023,235745,AP36Z0011,OR,KLD2,340,10266,D,1,PALLEVELUGU,KLD/WGL,8,0
199,MAHABOOBABAD,21-08-2023,235745,TS26Z0020,OR,CHG1,300,5682,D,1,PALLEVELUGU,WL/KSDM,8,0
200,MAHABOOBABAD,27-08-2023,235745,AP29Z1741,EX,9521,225,18000,D,0,EXPRESS,EXTRA,8,0
201,MAHABOOBABAD,29-08-2023,235745,AP36Z0216,OR,BPT1,300,10100,D,1,PALLEVELUGU,WL/KSDM,8,0
202,MAHABOOBABAD,30-08-2023,235745,AP36Z0176,OR,9022,446,18154,D,0,PALLEVELUGU,EXTRA,8,0
203,MAHABOOBABAD,01-09-2023,235745,AP36Z0143,OR,YS01,348,16788,D,1,PALLEVELUGU,SRPT/TNC,8,0
204,MAHABOOBABAD,04-09-2023,235745,AP36Z0011,OR,KLD2,340,14408,D,1,PALLEVELUGU,KLD/WGL,8,0
